text,fallacy_type,taxonomy_group,clean_text
"Prof. Jones: ""The university just cut our yearly budget by $10,000."" Prof. Smith: ""What are we going to do?"" Prof. Brown: ""I think we should eliminate one of the teaching assistant positions. That would take care of it."" Prof. Jones: ""We could reduce our scheduled raises instead."" Prof. Brown: "" I can't understand why you want to bleed us dry like that, Jones.""",fallacy of extension,Clarity Fallacy,prof jones university cut yearly budget prof smith going prof brown think eliminate one teaching assistant position would take care prof jones could reduce scheduled raise instead prof brown cant understand want bleed u dry like jones
uses irrelevant information or other techniques to distract from the argument at hand,fallacy of relevance,Relevance Fallacy,us irrelevant information technique distract argument hand
"If Joe eats greasy food, he will feel sick.
Joe feels sick.
Therefore, Joe ate greasy food.",fallacy of logic,Clarity Fallacy,joe eats greasy food feel sick joe feel sick therefore joe ate greasy food
"The student didn't want to participate in the beach cleanup. Later, the student's advisor says ""I can't believe she doesn't believe in climate change"".",fallacy of extension,Clarity Fallacy,student didnt want participate beach cleanup later student advisor say cant believe doesnt believe climate change
"This herbal supplement is made from a plant that grows in Zambia. It must be healthier than taking that medication, which is full of chemicals I can't pronounce.",fallacy of credibility,Relevance Fallacy,herbal supplement made plant grows zambia must healthier taking medication full chemical cant pronounce
"I know the Professor said that the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks.

Identify the logical fallacy commited in this argument.",ad populum,Relevance Fallacy,know professor said bridge madison county smarmy trash lacked artistic worth still think he wrong bestseller list week identify logical fallacy commited argument
Those who believe in behavior modification obviously want to try to control everyone by subjecting them to rewards and punishments.,fallacy of extension,Clarity Fallacy,believe behavior modification obviously want try control everyone subjecting reward punishment
"If taxes are lowered, I will have more money to spend.
I have more money to spend.
Therefore, taxes must have been lowered.",fallacy of logic,Clarity Fallacy,tax lowered money spend money spend therefore tax must lowered
"If there is no freewill, then we are not ultimately in control of our actions. If this is true, our entire system of justice would be seriously flawed. This would be very bad; therefore, freewill must exist.",appeal to emotion,Relevance Fallacy,freewill ultimately control action true entire system justice would seriously flawed would bad therefore freewill must exist
Students never used to have cell phones so they don't need them now.,fallacy of credibility,Relevance Fallacy,student never used cell phone dont need
All football players are dumb jocks.,faulty generalization,Presumption Fallacy,football player dumb jock
"""My cousin said her Math class was hard. The one that I’m in is hard too. All Math classes must be hard.""
This statement is an example of…",faulty generalization,Presumption Fallacy,cousin said math class hard one im hard math class must hard statement example
"""In his class president election video, he called his student opponent 'a brown-nosing, suck up who only wanted to get on the teacher's good side,' which got him disqualified"" IS an example of THIS fallacy.",ad hominem,Relevance Fallacy,class president election video called student opponent brownnosing suck wanted get teacher good side got disqualified example fallacy
"Jack: I have tiny, invisible unicorns living in my anus.
Nick: How do you figure?
Jack: Can you prove that I don't?
Nick: No.
Jack: Then I do.
",intentional,Clarity Fallacy,jack tiny invisible unicorn living anus nick figure jack prove dont nick jack
Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing.,ad hominem,Relevance Fallacy,dismissing someone viewpoint issue inconsistent thing
Using the second amendment as justification to allow civilians to own nuclear submarines.,faulty generalization,Presumption Fallacy,using second amendment justification allow civilian nuclear submarine
"Your brain is made of molecules.  Molecules are not the source of consciousness.  Therefore, your brain cannot be the source of consciousness.",faulty generalization,Presumption Fallacy,brain made molecule molecule source consciousness therefore brain source consciousness
"The “prophet” Nostradamus wrote about 500 years ago:

Beasts wild with hunger will cross the rivers,
The greater part of the battle will be against Hister.
He will cause great men to be dragged in a cage of iron,
When the son of Germany obeys no law.

Surely he must have had some vision of Hitler!",intentional,Clarity Fallacy,prophet nostradamus wrote year ago beast wild hunger cross river greater part battle hister cause great men dragged cage iron son germany obeys law surely must vision hitler
"You’re a vegetarian? You do realize that Hitler was a vegetarian, too?",ad hominem,Relevance Fallacy,youre vegetarian realize hitler vegetarian
An opinion article in a campus newspaper states that in an all-campus survey 95% of students think that tuition should be lowered and therefore tuition should be lowered immediately.,ad populum,Relevance Fallacy,opinion article campus newspaper state allcampus survey student think tuition lowered therefore tuition lowered immediately
"""I am a great leader because I make great leadership decisions. The proof that I make great leadership decisions is that I am a great leader, and that's what leaders do."" What is this?",circular reasoning,Presumption Fallacy,great leader make great leadership decision proof make great leadership decision great leader thats leader
Mayor Blake wants to create more bicycle lanes in Lowell. Why is he forcing us to give up our cars and bike everywhere?,fallacy of extension,Clarity Fallacy,mayor blake want create bicycle lane lowell forcing u give car bike everywhere
You should give me a promotion. I have a lot of debt and am behind on my rent.,appeal to emotion,Relevance Fallacy,give promotion lot debt behind rent
All women care about are their looks.,faulty generalization,Presumption Fallacy,woman care look
"Either support gun confiscation or have the government provide everyone with his own private nuclear warhead, you decide which one.",false dilemma,Presumption Fallacy,either support gun confiscation government provide everyone private nuclear warhead decide one
"Either we go to war, or we appear weak",false dilemma,Presumption Fallacy,either go war appear weak
", tax relief instead of tax cut, or death tax instead of estate tax)",appeal to emotion,Relevance Fallacy,tax relief instead tax cut death tax instead estate tax
"If we teach anton how to drive the car, he’ll want to learn how to fly helicopters next!",faulty generalization,Presumption Fallacy,teach anton drive car hell want learn fly helicopter next
Students should not be allowed to park in lots now reserved for faculty because those lots should be for faculty only.,circular reasoning,Presumption Fallacy,student allowed park lot reserved faculty lot faculty
Not tipping your waiter is like stealing money right out of someone's wallet.,fallacy of logic,Clarity Fallacy,tipping waiter like stealing money right someone wallet
You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.,appeal to emotion,Relevance Fallacy,give passing grade spent hour project missed every party quarter
"A study was done recently showing that church attendance was positively correlated with marriage longevity, that is, those couples who attended church together more often were more likely to stay married. This really should not be a surprise considering the general view of divorce within religion. What this does not mean is that any given couple who does not attend church is more likely to get divorced than any given couple that does attend church.",faulty generalization,Presumption Fallacy,study done recently showing church attendance positively correlated marriage longevity couple attended church together often likely stay married really surprise considering general view divorce within religion mean given couple attend church likely get divorced given couple attend church
Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other.,circular reasoning,Presumption Fallacy,circular reasoning occurs someone make argument premise conclusion rely truthfulness
AttP 1: Jenny & Bert's Economy Conversation,ad populum,Relevance Fallacy,attp jenny berts economy conversation
Allowing gay marriage puts us on the way to polygamy and bestiality,faulty generalization,Presumption Fallacy,allowing gay marriage put u way polygamy bestiality
"Debate moderator: ""What will you do to fix the economic crisis?"" Candidate: ""It's important to focus on what started this crisis to begin with. My opponent...""",fallacy of relevance,Relevance Fallacy,debate moderator fix economic crisis candidate important focus started crisis begin opponent
"""I used to have that haircut. Then my mom got a job.""",ad hominem,Relevance Fallacy,used haircut mom got job
"My opponent suggests that lowering taxes will be a good idea -- this is coming from a woman who eats a pint of Ben and Jerry’s each night!
Mi oponente sugiere que bajar los impuestos será una buena idea, ¡esto viene de una mujer que se come una pinta de Ben y Jerry cada noche!",ad hominem,Relevance Fallacy,opponent suggests lowering tax good idea coming woman eats pint ben jerry night mi oponente sugiere que bajar los impuestos ser una buena idea esto viene de una mujer que se come una pinta de ben jerry cada noche
"All useless laws, such as Reform Bill 13, should be repealed.",circular reasoning,Presumption Fallacy,useless law reform bill repealed
"FlatSam: Common sense tells us that if the earth were a sphere, people on the bottom would fall off.
ReasonEric: I don’t think you get to reference something you clearly don’t have.
",intentional,Clarity Fallacy,flatsam common sense tell u earth sphere people bottom would fall reasoneric dont think get reference something clearly dont
I work out in the morning because it worked for my friend.,faulty generalization,Presumption Fallacy,work morning worked friend
"The flu vaccine comes out every year just before the holidays, then people go and spend a lot of money. Therefore, businesses are secretly using the flu vaccine as a mind control device to increase holiday spending.",false causality,Presumption Fallacy,flu vaccine come every year holiday people go spend lot money therefore business secretly using flu vaccine mind control device increase holiday spending
"I am committed to preserving traditional marriage, the union of one man and one woman.",fallacy of credibility,Relevance Fallacy,committed preserving traditional marriage union one man one woman
"John: We should oppose any attempt to register firearms. Such regulation is the first step to confiscation of all weapons and the elimination of our constitutional right to bear arms.

Ted: This is preposterous. Many things in society are registered, such as cars, babies, boats, and lanes, yet these items have never been confiscated.",faulty generalization,Presumption Fallacy,john oppose attempt register firearm regulation first step confiscation weapon elimination constitutional right bear arm ted preposterous many thing society registered car baby boat lane yet item never confiscated
"John says that Kentucky will beat Florida, but John sometimes lies, so I'm not sure.",ad hominem,Relevance Fallacy,john say kentucky beat florida john sometimes lie im sure
"A fallacy of relevance where someone rejects or criticizes another person’s view on the basis of personal characteristics, background, physical appearance, or other features irrelevant to the",ad hominem,Relevance Fallacy,fallacy relevance someone reject criticizes another person view basis personal characteristic background physical appearance feature irrelevant
"Nature gives people diseases and sickness; therefore, it is morally wrong to interfere with nature and treat sick people with medicine.",fallacy of credibility,Relevance Fallacy,nature give people disease sickness therefore morally wrong interfere nature treat sick people medicine
Having a television rating system is like being in prison.  Both infringe on one's rights.,faulty generalization,Presumption Fallacy,television rating system like prison infringe one right
“There aren’t any good restaurants in Sydney; I tried two and they were both horrible.”,faulty generalization,Presumption Fallacy,arent good restaurant sydney tried two horrible
"I hear the rain falling outside my window; therefore, the sun is not shining.",fallacy of logic,Clarity Fallacy,hear rain falling outside window therefore sun shining
"""I stay away from those gatherings because I don't want to be brainwashed.""",circular reasoning,Presumption Fallacy,stay away gathering dont want brainwashed
"If Mom didn't turn off the air conditioner, then clearly she must be too hot.",false dilemma,Presumption Fallacy,mom didnt turn air conditioner clearly must hot
"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?
Ken: But what is morality exactly?
Mike: It’s a code of conduct shared by cultures.
Ken: But who creates this code?...",fallacy of relevance,Relevance Fallacy,mike morally wrong cheat spouse earth would done ken morality exactly mike code conduct shared culture ken creates code
"Charlie: Illegal posting and sharing of songs online is crippling the music industry.
Bob: You couldn’t be more wrong; the music industry is doing just fine. I can’t believe you think the government should be allowed to regulate what I share with my “friends.” No one wants a world where I can’t loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers.",fallacy of extension,Clarity Fallacy,charlie illegal posting sharing song online crippling music industry bob couldnt wrong music industry fine cant believe think government allowed regulate share friend one want world cant loan book girlfriend let roommate borrow ipod share funny meme blog follower
"""We've got to stop them from banning poetry. Once they start banning one form of literature, they will never stop. Next thing you know, they will be burning all the books!"" Ammar demanded.",faulty generalization,Presumption Fallacy,weve got stop banning poetry start banning one form literature never stop next thing know burning book ammar demanded
"Mayor: During my previous term as mayor my staff and I spent a great deal of time focusing on our city’s economy, and unemployment reached an all-time high as a result. So clearly you should support my re-election campaign if you are among those still looking for a job.",fallacy of logic,Clarity Fallacy,mayor previous term mayor staff spent great deal time focusing city economy unemployment reached alltime high result clearly support reelection campaign among still looking job
"Sometimes kids ride skateboards and fall off, breaking their arms or legs. Clearly, riding a skateboard is extremely dangerous. Don’t you think skateboards should be banned?",appeal to emotion,Relevance Fallacy,sometimes kid ride skateboard fall breaking arm leg clearly riding skateboard extremely dangerous dont think skateboard banned
Fortnite is the best game ever. Everyone is playing it!,ad populum,Relevance Fallacy,fortnite best game ever everyone playing
"Several years ago, a group of 10 psychologists started a psychology training program. Each of those psychologists is efficient, effective, and highly-regarded. Their training program must be efficient, effective, and highly-regarded.",faulty generalization,Presumption Fallacy,several year ago group psychologist started psychology training program psychologist efficient effective highlyregarded training program must efficient effective highlyregarded
Don't listen to her advice about math. She doesn't even know how to tie her own shoes!,ad hominem,Relevance Fallacy,dont listen advice math doesnt even know tie shoe
George Bush is a good communicator because he speaks effectively.,circular reasoning,Presumption Fallacy,george bush good communicator speaks effectively
The Supreme Court has just flinched from its responsibility to stop the unjust jailing of two journalists―not charged with any wrongdoing―by a runaway prosecutor who will go to any lengths to use the government's contempt power to force them to betray their confidential sources.,appeal to emotion,Relevance Fallacy,supreme court flinched responsibility stop unjust jailing two journalistsnot charged wrongdoingby runaway prosecutor go length use government contempt power force betray confidential source
You can either support our police or Black Lives Matter.,false dilemma,Presumption Fallacy,either support police black life matter
"An abusive attack against someone making the argument, instead of the argument itself, is called a/an",ad hominem,Relevance Fallacy,abusive attack someone making argument instead argument called aan
"Jon: Why should I bother exercising while my spouse is on vacation stuffing her face with food.
",appeal to emotion,Relevance Fallacy,jon bother exercising spouse vacation stuffing face food
"Speaker 1: I think the idea of a moral law requires the existence of a lawgiver (i.e. God).
Speaker 2: Of course you would say that. You’re a Christian. Why should we listen to you?",ad hominem,Relevance Fallacy,speaker think idea moral law requires existence lawgiver ie god speaker course would say youre christian listen
The latest craze or fad; everyone has to have it.,ad populum,Relevance Fallacy,latest craze fad everyone
Ms. Baker assigned me a lot of homework because she’s a witch!,ad hominem,Relevance Fallacy,m baker assigned lot homework shes witch
"""I don't know how to complete my geometry homework tonight; I probably can't pass the course since I can't do this one assignment.""",faulty generalization,Presumption Fallacy,dont know complete geometry homework tonight probably cant pas course since cant one assignment
"TOPIC: Should people let their cats go outside?
DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise.""
""Speaking of exercise, have you ever played 'Just Dance'? What a great workout!""",fallacy of relevance,Relevance Fallacy,topic people let cat go outside debate people let cat go outside going outside give cat exercise speaking exercise ever played dance great workout
Three congressional representatives have had affairs. Members of Congress are adulterers.,faulty generalization,Presumption Fallacy,three congressional representative affair member congress adulterer
"""Because everybody thinks this way, it must be right.""",ad populum,Relevance Fallacy,everybody think way must right
That answer you just gave cannot be right because you are always so rude.,ad hominem,Relevance Fallacy,answer gave right always rude
I am voting for Smith for President because the rest of my family is voting for him.,ad populum,Relevance Fallacy,voting smith president rest family voting
"Jimmy Swaggart argued strongly against sexual immorality, yet while married, he has had several affairs with prostitutes; therefore, sexual immorality is acceptable.",ad hominem,Relevance Fallacy,jimmy swaggart argued strongly sexual immorality yet married several affair prostitute therefore sexual immorality acceptable
"If you break your diet and have one cookie tonight, you will just want to eat 10 cookies tomorrow, and before you know it, you will have gained back the 15 pounds you lost. This is an example of which logical fallacy?",faulty generalization,Presumption Fallacy,break diet one cookie tonight want eat cooky tomorrow know gained back pound lost example logical fallacy
"Power lines cause cancer.  I met a little boy with cancer who lived just 20 miles from a power line who looked into my eyes and said, in his weak voice, “Please do whatever you can so that other kids won’t have to go through what I am going through.”  I urge you to vote for this bill to tear down all power lines and replace them with monkeys on treadmills.",appeal to emotion,Relevance Fallacy,power line cause cancer met little boy cancer lived mile power line looked eye said weak voice please whatever kid wont go going urge vote bill tear power line replace monkey treadmill
"Don't ever gamble! Once you start, you won't be able to stop, and you'll end up bankrupt.",faulty generalization,Presumption Fallacy,dont ever gamble start wont able stop youll end bankrupt
Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other.,circular reasoning,Presumption Fallacy,circular reasoning occurs someone make argument premise conclusion rely truthfulness
The writer or speaker intentionally misleads the audience by using a word with a double or ambiguous meaning.,equivocation,Clarity Fallacy,writer speaker intentionally misleads audience using word double ambiguous meaning
"I lost my phone in the living room, so it will always be in the living room when it is lost.",circular reasoning,Presumption Fallacy,lost phone living room always living room lost
Everyone loves Post Malone and can name at least one of his songs! (This is an example of...),faulty generalization,Presumption Fallacy,everyone love post malone name least one song example
I can't understand why people are complaining that it's difficult to find a job in this job market. My daughter and I got jobs without any trouble.,faulty generalization,Presumption Fallacy,cant understand people complaining difficult find job job market daughter got job without trouble
This theory originally occurred to a scientist in the form of a dream; therefore it cannot be valid.,ad hominem,Relevance Fallacy,theory originally occurred scientist form dream therefore valid
"Thanks to her enduring popularity with employees, Ella Watson is the best-liked CEO in our company's history.",circular reasoning,Presumption Fallacy,thanks enduring popularity employee ella watson bestliked ceo company history
"If you don’t like Lady Gaga, it’s because you hate women.",fallacy of extension,Clarity Fallacy,dont like lady gaga hate woman
"John: Can you please help me push my car to the side of the road until the tow truck comes?
Paul: Why push it to the side of the road?  Why not just leave it?
John: It is slowing down traffic unnecessarily where it is.
Paul: Many things slow down traffic—do you feel you need to do something about all them?
John: No, but this was my fault.
Paul: Was it really? Were you the direct cause of your car breaking down?
John: Are you going to help me move this damn car or not?!
",fallacy of relevance,Relevance Fallacy,john please help push car side road tow truck come paul push side road leave john slowing traffic unnecessarily paul many thing slow trafficdo feel need something john fault paul really direct cause car breaking john going help move damn car
Billy murdered all those people because I spanked him when he was a child.,false causality,Presumption Fallacy,billy murdered people spanked child
"Mormonism is one of the fastest growing sects of Christianity today so that whole story about Joseph Smith getting the golden plates that, unfortunately, disappeared back into heaven, must be true!",ad populum,Relevance Fallacy,mormonism one fastest growing sect christianity today whole story joseph smith getting golden plate unfortunately disappeared back heaven must true
"Sandra tells her mom, ""I deserve to have a later curfew, so you should let me stay out until 10pm!""",circular reasoning,Presumption Fallacy,sandra tell mom deserve later curfew let stay pm
"""Stephen Hawking in the smartest scientist on the planet, so if he says global warming is real, it must be true!""",fallacy of credibility,Relevance Fallacy,stephen hawking smartest scientist planet say global warming real must true
The Royals are promoting their team for the next season by telling people to come join the team because everyone else has.,ad populum,Relevance Fallacy,royal promoting team next season telling people come join team everyone else
He sometimes behaves violently when I am around him. I don't know what it is that I am doing to make him become so violent.,fallacy of logic,Clarity Fallacy,sometimes behaves violently around dont know make become violent
"While doing research for her debate topic on school uniforms, Sara discovered that a local elementary school survey indicated that 72% of its 1st graders wanted uniforms. She used this as evidence to support that all high schools should wear school uniforms.
What fallacy did Sara use here?",faulty generalization,Presumption Fallacy,research debate topic school uniform sara discovered local elementary school survey indicated st grader wanted uniform used evidence support high school wear school uniform fallacy sara use
Incorrectly thinking that one thing leads to another,false causality,Presumption Fallacy,incorrectly thinking one thing lead another
"The economy continues to grow as the number of “likes” on my Instagram account continue to increase. Clearly, the two are linked.",false causality,Presumption Fallacy,economy continues grow number like instagram account continue increase clearly two linked
"If you accept that the story of Adam and Eve was figurative, then you will do the same for most of the Old Testament stories of similar literary styles. Once you are there, the New Testament and the story of Jesus does not make sense, which will lead you to believe that the resurrection of Jesus was a “spiritual” one. Once you accept that, you won’t be a Christian anymore; you will be a dirty atheist, then you will have no morals and start having sex with animals of a barnyard nature. So you better take the story of Adam and Eve literally, before the phrase, “that chicken looks delicious”, takes on a whole new meaning.",faulty generalization,Presumption Fallacy,accept story adam eve figurative old testament story similar literary style new testament story jesus make sense lead believe resurrection jesus spiritual one accept wont christian anymore dirty atheist moral start sex animal barnyard nature better take story adam eve literally phrase chicken look delicious take whole new meaning
Affirmative Action can never be fair or just. You cannot remedy one injustice by committing another.,circular reasoning,Presumption Fallacy,affirmative action never fair remedy one injustice committing another
All my friends are doing a low carb diet. That must be the only way to lose weight so I will do it too.,ad populum,Relevance Fallacy,friend low carb diet must way lose weight
Canada is the best country to live in because it's better than the other countries!,circular reasoning,Presumption Fallacy,canada best country live better country
A mother who tells the pediatrician that she doesn't trust his judgment because he's never been a mother.,ad hominem,Relevance Fallacy,mother tell pediatrician doesnt trust judgment he never mother
"""Florida is the most important state because it has sun and beaches.""",fallacy of extension,Clarity Fallacy,florida important state sun beach
"Bertrand declares that a teapot is, at this very moment, in orbit around the Sun between the Earth and Mars, and that because no one can prove him wrong, his claim is therefore a valid one.",intentional,Clarity Fallacy,bertrand declares teapot moment orbit around sun earth mar one prove wrong claim therefore valid one
People who wear glasses are smarter.,faulty generalization,Presumption Fallacy,people wear glass smarter
"""In its origins [AIDS] was entirely a disease of sodomites... That the first case was diagnosed a little over a decade after the so-called ""Gay Rights"" and ""Gay Pride"" movement gained momentum and force can hardly be coincidental."" - Harry Jaffa, Professor Emeritus of Political Philosophy at Claremont McKenna College",false causality,Presumption Fallacy,origin aid entirely disease sodomite first case diagnosed little decade socalled gay right gay pride movement gained momentum force hardly coincidental harry jaffa professor emeritus political philosophy claremont mckenna college
Order is necessary to justice because justice can only be achieved by a program of social and legal order.,circular reasoning,Presumption Fallacy,order necessary justice justice achieved program social legal order
Everyone wants the iPhone 11 because it's the best phone on the market!,ad populum,Relevance Fallacy,everyone want iphone best phone market
A parent who says that the teacher doesn't know how to teach because she graduated from a community college.,ad hominem,Relevance Fallacy,parent say teacher doesnt know teach graduated community college
"Either God created the world or evolution happened.
Evolution happened.
Therefore, God did not create the world.",fallacy of logic,Clarity Fallacy,either god created world evolution happened evolution happened therefore god create world
"After Will said that we should put more money into health and education, Warren responded by saying that he was surprised that Will hates our country so much that he wants to leave it defenseless by cutting military spending.",fallacy of extension,Clarity Fallacy,said put money health education warren responded saying surprised hate country much want leave defenseless cutting military spending
Did your misleading claims result in you getting promoted?,intentional,Clarity Fallacy,misleading claim result getting promoted
"America is the best place to live, because it's better than any other country. (This is a good example of...)",circular reasoning,Presumption Fallacy,america best place live better country good example
"Ivan: You cannot borrow my car because it turns back into a pumpkin at midnight.
Sidney: If you really think that, you’re an idiot.
Ivan: That is an ad hominem; therefore, I can’t be an idiot.
Sidney: I beg to differ.",fallacy of logic,Clarity Fallacy,ivan borrow car turn back pumpkin midnight sidney really think youre idiot ivan ad hominem therefore cant idiot sidney beg differ
Allowing people to possess guns is like giving a bomb to a bunch of kids.,fallacy of logic,Clarity Fallacy,allowing people possess gun like giving bomb bunch kid
A person hanging out in a bar will be an alcoholic,faulty generalization,Presumption Fallacy,person hanging bar alcoholic
Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness.,false causality,Presumption Fallacy,joan scratched cat visiting friend two day later come fever joan concludes cat scratch must cause illness
The political commercials described the mayor as a “monster” who “hated babies” but they never discussed his plans for the city.,ad hominem,Relevance Fallacy,political commercial described mayor monster hated baby never discussed plan city
"If you accept that the story of Adam and Eve was figurative, then you will do the same for most of the Old Testament stories of similar literary styles.  Once you are there, the New Testament and the story of Jesus does not make sense, which will lead you to believe that the resurrection of Jesus was a “spiritual” one.  Once you accept that, you won’t be a Christian anymore; you will be a dirty atheist, then you will have no morals and start having sex with animals of a barnyard nature.  So you better take the story of Adam and Eve literally, before the phrase, “that chicken looks delicious”, takes on a whole new meaning.",faulty generalization,Presumption Fallacy,accept story adam eve figurative old testament story similar literary style new testament story jesus make sense lead believe resurrection jesus spiritual one accept wont christian anymore dirty atheist moral start sex animal barnyard nature better take story adam eve literally phrase chicken look delicious take whole new meaning
Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choose an activity.,ad hominem,Relevance Fallacy,course lou would want go biking field trip day biking thing ever shouldnt allowed choose activity
Force people to choose between two extreme choices intentionally ignoring the whole spectrum of other possibilities.,false dilemma,Presumption Fallacy,force people choose two extreme choice intentionally ignoring whole spectrum possibility
"All lions are animals.
All cats are animals.
Therefore, all lions are cats.",fallacy of logic,Clarity Fallacy,lion animal cat animal therefore lion cat
My neighbor’s child was kidnapped while playing alone in her yard. My city must be a dangerous place for children.,faulty generalization,Presumption Fallacy,neighbor child kidnapped playing alone yard city must dangerous place child
"All the popular guys at school are dyeing their hair purple, so you should, too!",ad populum,Relevance Fallacy,popular guy school dyeing hair purple
Suggesting that John F. Kennedy won the presidency over Richard Nixon exclusively because of the debate on TV,false causality,Presumption Fallacy,suggesting john f kennedy presidency richard nixon exclusively debate tv
“The two courses I took at Harvard were not very interesting. I don't think it is a good university.”,faulty generalization,Presumption Fallacy,two course took harvard interesting dont think good university
"Richard Dawkins, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true. Therefore, it's true.",fallacy of credibility,Relevance Fallacy,richard dawkins evolutionary biologist perhaps foremost expert field say evolution true therefore true
"If I went to the mall a polled 3 people, those opinions would not represent the opinions of the city population.",faulty generalization,Presumption Fallacy,went mall polled people opinion would represent opinion city population
"If you forget to floss, you will get cavities, and if you get cavities, you will lose all your teeth by the time you're 30.",faulty generalization,Presumption Fallacy,forget floss get cavity get cavity lose teeth time youre
"""Some tall people recently vandalized the park, tall people are irresponsible.""",faulty generalization,Presumption Fallacy,tall people recently vandalized park tall people irresponsible
"the analogy 'animal Auschwitz,' which compares the treatment of animals to the treatment of Jews, gays and other groups during the Nazi era.",fallacy of logic,Clarity Fallacy,analogy animal auschwitz compare treatment animal treatment jew gay group nazi era
"My mother has always told me not to drink milk after eating fish because she knows a friend whose skin got patched after drinking milk and eating fish together. Besides, many other people have told me the same thing so it must be true.",faulty generalization,Presumption Fallacy,mother always told drink milk eating fish know friend whose skin got patched drinking milk eating fish together besides many people told thing must true
Every severe recession follows a Republican Presidency; therefore Republicans are the cause of recessions.,false causality,Presumption Fallacy,every severe recession follows republican presidency therefore republican cause recession
"""Good source of Vitamin D""...*doesn't mention the terrible amounts of sugar.",intentional,Clarity Fallacy,good source vitamin ddoesnt mention terrible amount sugar
"harmful atheists favor cloning, so cloning is wrong",ad hominem,Relevance Fallacy,harmful atheist favor cloning cloning wrong
"Based on a survey of 1000 American homeowners, 99% of those surveyed have two or more automobiles worth on average $100,000 each.  Therefore, Americans are very wealthy.",faulty generalization,Presumption Fallacy,based survey american homeowner surveyed two automobile worth average therefore american wealthy
"Ted: Biological evolution is both a theory and a fact.

Edwin: That is ridiculous! How can you possibly be absolutely certain that we evolved from pond scum!",fallacy of extension,Clarity Fallacy,ted biological evolution theory fact edwin ridiculous possibly absolutely certain evolved pond scum
"“Eat great food at our restaurant, or eat sad, boring meals at home.”",false dilemma,Presumption Fallacy,eat great food restaurant eat sad boring meal home
"My roommate wants to talk about cleaning out the garage, so I asked her what she wants to do with our patio furniture. Now she's shopping for new patio furniture and not asking me about the garage.",fallacy of relevance,Relevance Fallacy,roommate want talk cleaning garage asked want patio furniture shes shopping new patio furniture asking garage
